N_gen,N_samplings,data_p,lambd,lambd_surr,beta_0,beta_perp,surr_score,log_loss_test,mis_error_test,log_loss_val,mis_error_val,alpha_0,alpha_s,alpha_perp,grad_norm,split_pct,acc_train,theta_surr_norm,alpha_exp,effectiveN,label_method,label_method_a,label_method_b
0,4,3000,0.001,,5.0,0.0,,0.8753213547032618,0.2716,0.8910774079279142,0.27403333333333335,3.75063566784945,0,3.7615112189191007,0.0010196685985963657,60,1.0,5.31189557154494,-1.0,4138,misspec,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,0.8784047026124521,0.27526666666666666,0.8932984424609868,0.2755,3.7486492591549663,0,3.753999423759907,0.0007903891500347715,60,1.0,5.305175109433504,-1.0,4105,misspec,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,0.8904893854975843,0.27553333333333335,0.8941430276086184,0.27463333333333334,3.759115227077629,0,3.802250327791301,0.0008619313638078882,60,1.0,5.346779857599895,-1.0,4139,misspec,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,0.8680157915323453,0.2707,0.8613346184529003,0.2708,3.7510675017601853,0,3.704472992510283,0.003867074760251735,60,1.0,5.271966194409775,-1.0,4099,misspec,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,0.8545427949722061,0.27143333333333336,0.8699763370518511,0.27323333333333333,3.692947351980597,0,3.659328238248836,0.0007204572592525583,60,1.0,5.198898277495515,-1.0,4076,misspec,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,0.8746898873917801,0.2707,0.8753604870475319,0.2712333333333333,3.7503270551328214,0,3.7433165911289956,0.0007736313259764949,60,1.0,5.298808556825093,-1.0,4091,misspec,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,0.9515477574373685,0.2712333333333333,0.9512693243580705,0.2687,4.305402320675132,0,4.181459607233287,0.0009553356445010739,70,1.0,6.001757541737118,-1.0,4770,misspec,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,0.9516404561641857,0.2699666666666667,0.9501274170559628,0.26666666666666666,4.345218822165409,0,4.206924990723825,0.0008031439768633635,70,1.0,6.048069484560936,-1.0,4759,misspec,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,0.9947940594754909,0.27326666666666666,1.0027725654183355,0.27303333333333335,4.346797851956815,0,4.3553528846301095,0.0025170392215161015,70,1.0,6.153352770273471,-1.0,4799,misspec,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,0.9726566365805801,0.2748333333333333,0.9738711769334965,0.27353333333333335,4.325000164762503,0,4.261642979290301,0.001081250597058251,70,1.0,6.071838873696336,-1.0,4793,misspec,0.95,0.05
